Event Name,Date,Venue,Road Name
Amy Dowden and Carlos Gu: Reborn,2025-03-30,New Theatre Cardiff,A4161
Amy Dowden and Carlos Gu: Reborn,2025-03-30,New Theatre Cardiff,A4161
Matt Goss: the Hits & More,2025-03-31,New Theatre Cardiff,A4161
Skunk Anansie,2025-03-31,The Great Hall - Cardiff University Students' Union,Secondary Road
Ricky Gervais,2025-04-01,Utilita Arena Cardiff,A4160
Usw Presents Meat Dress & Temperment / DJ Tamika,2025-04-02,Fuel Rock Club,Secondary Road
Ricky Gervais,2025-04-02,Utilita Arena Cardiff,A4160
Interum Plus Guests,2025-04-03,Fuel Rock Club,Secondary Road
Kamasi Washington,2025-04-03,The Great Hall - Cardiff University Students' Union,Secondary Road
Mo Gilligan - In the Moment World Tour 2024 & 2025,2025-04-04,Utilita Arena Cardiff,A4160
Netball Super League: Cardiff Dragons v Manchester Thunder,2025-04-05,Utilita Arena Cardiff,A4160
An Evening with The George Michael Singers,2025-04-08,New Theatre Cardiff,A4161
Welsh Varsity 2025 (Freshers),2025-04-09,Cardiff Arms Park,Secondary Road
Welsh Varsity 2025,2025-04-09,Cardiff Arms Park,Secondary Road
Rob Beckett: Giraffe,2025-04-10,New Theatre Cardiff,A4161
Rob Beckett: Giraffe,2025-04-11,New Theatre Cardiff,A4161
Gabrielle.,2025-04-11,Utilita Arena Cardiff,A4160
Limp Bizkit By Chocolate Starfish,2025-04-12,Fuel Rock Club,Secondary Road
Cardiff RFC v Llandovery,2025-04-12,Cardiff Arms Park,Secondary Road
Rob Beckett: Giraffe,2025-04-12,New Theatre Cardiff,A4161
