Temperature (°C),Condition,Date,Hour,weather_encoded,hour_weight,weather_hour_impact
10.22,few clouds,30/03/2025,21,1,1,1
7.84,few clouds,31/03/2025,0,1,1,1
6.37,broken clouds,31/03/2025,3,1,1,1
4.95,overcast clouds,31/03/2025,6,1,1,1
8.8,overcast clouds,31/03/2025,9,1,3,3
11.08,overcast clouds,31/03/2025,12,1,2,2
12.92,scattered clouds,31/03/2025,15,1,3,3
11.78,scattered clouds,31/03/2025,18,1,2,2
8.76,overcast clouds,31/03/2025,21,1,1,1
7.19,overcast clouds,01/04/2025,0,1,1,1
5.92,overcast clouds,01/04/2025,3,1,1,1
4.94,broken clouds,01/04/2025,6,1,1,1
7.6,broken clouds,01/04/2025,9,1,3,3
11.74,broken clouds,01/04/2025,12,1,2,2
13.19,clear sky,01/04/2025,15,0,3,0
10.63,clear sky,01/04/2025,18,0,2,0
7.69,clear sky,01/04/2025,21,0,1,0
6.43,clear sky,02/04/2025,0,0,1,0
5.43,clear sky,02/04/2025,3,0,1,0
4.76,clear sky,02/04/2025,6,0,1,0
8.32,clear sky,02/04/2025,9,0,3,0
11.97,clear sky,02/04/2025,12,0,2,0
13.24,few clouds,02/04/2025,15,2,3,6
11.06,scattered clouds,02/04/2025,18,1,2,2
8.79,few clouds,02/04/2025,21,1,1,1
8.8,broken clouds,03/04/2025,0,1,1,1
8.8,overcast clouds,03/04/2025,3,1,1,1
7.62,broken clouds,03/04/2025,6,1,1,1
9.81,clear sky,03/04/2025,9,0,3,0
11.46,light rain,03/04/2025,12,2,2,4
13.28,overcast clouds,03/04/2025,15,1,3,3
11.41,light rain,03/04/2025,18,2,2,4
10.67,overcast clouds,03/04/2025,21,1,1,1
9.91,overcast clouds,04/04/2025,0,1,1,1
9.92,light rain,04/04/2025,3,2,1,2
9.79,light rain,04/04/2025,6,2,1,2
10.81,overcast clouds,04/04/2025,9,1,3,3
14.76,overcast clouds,04/04/2025,12,1,2,2
15.11,scattered clouds,04/04/2025,15,1,3,3
12.95,few clouds,04/04/2025,18,1,2,2
