count_point_id,year,region_id,region_name,local_authority_id,local_authority_name,road_name,road_type,start_junction_road_name,end_junction_road_name,easting,northing,latitude,longitude,link_length_km,link_length_miles,estimation_method,estimation_method_detailed,direction_of_travel,pedal_cycles,two_wheeled_motor_vehicles,cars_and_taxis,buses_and_coaches,lgvs,hgvs_2_rigid_axle,hgvs_3_rigid_axle,hgvs_4_or_more_rigid_axle,hgvs_3_or_4_articulated_axle,hgvs_5_articulated_axle,hgvs_6_articulated_axle,all_hgvs,all_motor_vehicles
522,2000,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",E,25,83,8796,143,919,162,19,20,7,19,4,231,10172
522,2000,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",W,21,73,8672,187,986,160,26,13,12,10,18,239,10157
522,2001,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",E,33,67,8691,182,1005,159,27,2,9,13,8,218,10163
522,2001,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",W,25,69,10577,188,878,188,17,2,0,6,14,227,11939
522,2002,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",E,21,67,8398,159,839,191,35,7,25,7,12,277,9740
522,2002,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",W,12,72,8631,167,952,116,30,7,10,12,13,188,10010
522,2003,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",E,34,55,10349,135,1068,162,19,10,7,9,24,231,11838
522,2003,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",W,26,60,8732,125,1074,148,24,10,13,10,16,221,10212
522,2004,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",E,26,64,8951,153,963,128,31,7,6,10,11,193,10324
522,2004,4,Wales,19,Cardiff,A48,Major,"A4232 / A4050",A4161,312000,175000,51.46710306,-3.26824372,4.50,2.80,Counted,"Manual count",W,26,59,9765,144,944,130,28,7,4,7,14,190,11102
