Temperature (°C),Condition,Date,Hour,weather_encoded,hour_weight,weather_hour_impact
14.14,broken clouds,2025-05-02,0,1,1,1
12.76,scattered clouds,2025-05-02,3,1,1,1
10.87,scattered clouds,2025-05-02,6,1,1,1
15.32,clear sky,2025-05-02,9,0,3,0
16.23,few clouds,2025-05-02,12,1,2,2
17.07,broken clouds,2025-05-02,15,1,3,3
17.03,broken clouds,2025-05-02,18,1,2,2
13.55,broken clouds,2025-05-02,21,1,1,1
10.73,broken clouds,2025-05-03,0,1,1,1
9.22,clear sky,2025-05-03,3,0,1,0
9.66,clear sky,2025-05-03,6,0,1,0
13.44,clear sky,2025-05-03,9,0,3,0
16.37,few clouds,2025-05-03,12,1,2,2
15.49,broken clouds,2025-05-03,15,1,3,3
13.99,broken clouds,2025-05-03,18,1,2,2
10.54,broken clouds,2025-05-03,21,1,1,1
9.16,scattered clouds,2025-05-04,0,1,1,1
6.9,clear sky,2025-05-04,3,0,1,0
6.28,clear sky,2025-05-04,6,0,1,0
9.07,clear sky,2025-05-04,9,0,3,0
12.05,few clouds,2025-05-04,12,1,2,2
13.0,scattered clouds,2025-05-04,15,1,3,3
10.91,scattered clouds,2025-05-04,18,1,2,2
6.75,few clouds,2025-05-04,21,1,1,1
5.0,few clouds,2025-05-05,0,1,1,1
3.65,clear sky,2025-05-05,3,0,1,0
4.42,clear sky,2025-05-05,6,0,1,0
8.79,clear sky,2025-05-05,9,0,3,0
11.25,few clouds,2025-05-05,12,1,2,2
12.99,scattered clouds,2025-05-05,15,1,3,3
12.69,scattered clouds,2025-05-05,18,1,2,2
8.3,broken clouds,2025-05-05,21,1,1,1
7.17,scattered clouds,2025-05-06,0,1,1,1
6.1,clear sky,2025-05-06,3,0,1,0
7.24,few clouds,2025-05-06,6,1,1,1
11.41,scattered clouds,2025-05-06,9,1,3,3
13.24,scattered clouds,2025-05-06,12,1,2,2
13.36,few clouds,2025-05-06,15,1,3,3
13.03,few clouds,2025-05-06,18,1,2,2
9.92,few clouds,2025-05-06,21,1,1,1
